Metric		Current
TOTAL_NUMBER_OF_FILES		118,944
NUMBER_OF_FILES_MAIN		136
LINES_OF_CODE_MAIN		9,602
NUMBER_OF_FILES_MAIN_EXT_TSX		66
LINES_OF_CODE_MAIN_EXT_TSX		5,385
NUMBER_OF_FILES_MAIN_EXT_TS		60
LINES_OF_CODE_MAIN_EXT_TS		4,036
NUMBER_OF_FILES_MAIN_EXT_JS		6
LINES_OF_CODE_MAIN_EXT_JS		90
NUMBER_OF_FILES_MAIN_EXT_MJS		1
LINES_OF_CODE_MAIN_EXT_MJS		37
NUMBER_OF_FILES_MAIN_EXT_HTML		2
LINES_OF_CODE_MAIN_EXT_HTML		36
NUMBER_OF_FILES_MAIN_EXT_GRAPHQL		1
LINES_OF_CODE_MAIN_EXT_GRAPHQL		18
NUMBER_OF_FILES_TEST		12
LINES_OF_CODE_TEST		1,265
NUMBER_OF_FILES_TEST_EXT_TS		12
LINES_OF_CODE_TEST_EXT_TS		1,265
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		13.17
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		17
LINES_OF_CODE_OTHER		654
NUMBER_OF_FILES_OTHER_EXT_JSON		12
LINES_OF_CODE_OTHER_EXT_JSON		637
NUMBER_OF_FILES_OTHER_EXT_PATCH		1
LINES_OF_CODE_OTHER_EXT_PATCH		12
NUMBER_OF_FILES_OTHER_EXT_TXT		3
LINES_OF_CODE_OTHER_EXT_TXT		4
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		1
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		6
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		232
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_TS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_TS		153
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_MJS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_MJS		37
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_HTML		24
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		18
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND		20
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND		1,475
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_TS		19
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_TS		1,457
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BACKEND_EXT_GRAPHQL		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BACKEND_EXT_GRAPHQL		18
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS		8
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS		525
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_EXT_TS		7
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_EXT_TS		513
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CYPRESS_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CYPRESS_EXT_HTML		12
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCRIPTS		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCRIPTS		564
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCRIPTS_EXT_TS		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCRIPTS_EXT_TS		528
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCRIPTS_EXT_JS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCRIPTS_EXT_JS		36
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SRC		97
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SRC		6,806
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SRC_EXT_TSX		66
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SRC_EXT_TSX		5,385
