Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		1,845
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		95
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		527
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_LOC		46
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CYPRESS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		119
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_NEGLIGIBLE_RISK_LOC		185
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SCRIPTS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_NEGLIGIBLE_RISK_LOC		968
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_LOW_RISK_LOC		95
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SRC_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_NEGLIGIBLE_RISK_LOC		1,124
CONDITIONAL_COMPLEXITY_COMPONENT_TS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_NEGLIGIBLE_RISK_LOC		712
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_LOW_RISK_LOC		95
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_TSX_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		9
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
